id,name,slug,headline,publisher_name,publisher_display_name,publisher_slug,course_type_id,category_name,category_slug,root_category_name,root_category_slug,level,environment,environment_name,avg_duration,points,language,locale,rating,enrolled,certified,liked,loved,disliked,active,enrollable,trending,visibility,responsive,contains_audio,contains_video,supported_in_mobile_app,softonic_ads_on,dfp_on,list_ranking,custom_list_ranking,published,cefr_score_description,courseImgUrl,outcomes,tags,categories_slugs,translations
1611,Elderly Care and Caring for the Disabled,elderly-care-and-caring-for-the-disabled-revised,"In this course learn how to treat people suffering from various mental and physical health conditions, as a result of ageing and traumatic injuries.","Advance Learning - Health, Nursing & Medical","Advance Learning - Health, Nursing & Medical",advance-learning-health-nursing-medical,1,Health,health,Health,health,1,workplace_job_role_training,Workplace - Job Role Training,1.5-3,50,en,en,4,333123,94244,1147,3316,97,1,1,0,1,1,0,0,1,0,0,1,261,True,Supplementary Courses,https://cdn01.alison-static.net/courses/1611/alison_courseware_intro_1611.jpg,"<p>By the end of this course, you will be able to:</p><ul><li>Differentiate between the process of ageing and disability</li><li>Describe the manner in which a range of the body’s systems deteriorate as the body ages</li><li>Discuss the implications the deterioration of a client's body has on a care worker’s duties</li><li>List a range of medical conditions that people suffer as a result of ageing</li><li>Develop the skills necessary to identify and treat various medical conditions</li><li>Realise that people with the same disability often have unique needs</li><li>Discuss various spinal cord injuries and the effects they have on individuals and their lifestyles</li></ul>",healthcare|transition_year|transition_year_practical_studies|care_worker_apprenticeships|sdg_3_good_health_and_wellbeing|caring_for_ageing_parents,"[""health""]","[""en"", ""es""]"
6655,Medication Safety: Handling and Administration,medication-safety-handling-and-administration,Enhance safety in medication handling and administration practices effectively with this free online course.,"Advance Learning - Health, Nursing & Medical","Advance Learning - Health, Nursing & Medical",advance-learning-health-nursing-medical,1,Health,health,Health,health,2,workplace_job_role_training,Workplace - Job Role Training,1.5-3,50,en-GB,en,3,15201,4008,233,318,29,1,1,0,1,1,0,1,1,0,0,2,1000000,True,Supplementary Courses,https://cdn01.alison-static.net/courses/6655/alison_courseware_intro_6655.jpg,"<p>By the end of this course, you will be able to:</p><ul><li>Describe the medication administration process to ensure patient safety</li><li>Identify essential components of prescriptions for medication efficacy</li><li>Review techniques for various medication administration routes</li><li>Evaluate safe medication storage, handling, and disposal practices</li><li>Identify common signs and symptoms of adverse drug reactions and side effects</li><li>Illustrate the importance of accurate medication assessment and management in home care settings</li><li>Distinguish between medication administration in-home care and long-term care facilities</li><li>Outline the role of drug scheduling in controlled substance regulation and its healthcare implications</li><li>Discuss medication handlers' legal responsibilities on practice scope, liability, and patient safety</li><li>State the ethical considerations in medication handling</li><li>Summarise the function of global medication regulatory bodies</li><li>Analyse the common causes of medication errors</li></ul>",health|healthcare|medicine|drugs,"[""health""]","[""en"", ""es""]"
1610,Caregiving Skills - Dementia Care,caregiving-skills-dementia-care-revised,Learn more about the caregiving skills you need for working effectively with clients who are suffering from dementia.,"Advance Learning - Health, Nursing & Medical","Advance Learning - Health, Nursing & Medical",advance-learning-health-nursing-medical,1,Health,health,Health,health,1,workplace_job_role_training,Workplace - Job Role Training,1.5-3,50,en-GB,en,3,350624,95904,1407,3391,113,1,1,0,1,1,0,0,1,0,0,3,171,True,Supplementary Courses,https://cdn01.alison-static.net/courses/1610/alison_courseware_intro_1610.jpg,"<p>By the end of this course, you will be able to:</p><ul><li>Define and differentiate various forms of dementia and their symptoms</li><li>Describe the symptoms of early, mild and late stages of Alzheimer’s disease</li><li>Discuss the importance of providing a variety of activities to patients with dementia, on a day-to-day basis</li><li>Summarise a range of problem behaviours that are associated with Alzheimer’s disease and describe how to treat them</li><li>Identify the skills to help families when a loved one has been diagnosed with dementia</li><li>Describe common behavioural traits exhibited by people with dementia and discuss effective ways to treat them</li></ul>",health|mental_health|caregiving|dementia|care_worker_apprenticeships|alzheimers,"[""health""]","[""en"", ""es""]"
5161,Asbestos Awareness,asbestos-awareness,This free online health and safety course explains how to manage the risks posed by the carcinogens found in asbestos.,Jawad Chand,Jawad Chand,Jawad-Chand,1,Health,health,Health,health,1,personal_development_personal_improvement,Personal Development - Personal Improvement,1.5-3,50,en,en,3,51455,13153,879,746,80,1,1,0,1,1,0,0,0,0,0,4,1000000,True,Supplementary Courses,https://cdn01.alison-static.net/courses/5161/alison_courseware_intro_5161.jpg,"<p>By the end of this course, you will be able to:</p>
<ul>
<li>Explain what asbestos is, how it is produced and why it is dangerous</li>
<li>Identify the types of asbestos that are commonly used to manufacture products</li>
<li>Describe the hazardous properties and forms of asbestos</li>
<li>List the most probable locations where asbestos can be found</li>
<li>Identify the most important route of exposure to asbestos that leads to unwanted health effects</li>
<li>Describe the health effects of asbestos exposure and contributing factors to asbestos-related diseases</li>
<li>Discuss who is at a greater risk of asbestos exposure</li>
<li>Explain the strategies and control measures used to avoid asbestos exposure</li>
<li>Outline the workplace exposure limits for asbestos established by different international organisations</li>
<li>Summarise the steps taken by licensed asbestos professionals to remove asbestos</li>
<li>Discuss the safety measures that provide effective asbestos waste management</li>
</ul>",health_and_safety|waste_management|sdg_12_responsible_consumption_and_production,"[""health"", ""engineering""]","[""en"", ""es""]"
7465,HIPAA Compliance Essentials,hipaa-compliance-essentials,"Learn HIPAA essentials, compliance best practices, and consequences of violations with this free online course.",Advance Learning - Health & Safety,Advance Learning - Health & Safety,advance-learning-health-safety,1,Health,health,Health,health,2,workplace_job_role_training,Workplace - Job Role Training,4-5,50,en-GB,en,3,5083,1495,139,146,15,1,1,0,1,1,0,1,1,0,0,5,1000000,True,Supplementary Courses,https://cdn01.alison-static.net/courses/7465/alison_courseware_intro_7465.jpg,"<p>By the end of this course, you will be able to:</p>
<ul>
<li>Explain the definition and purpose of the Health Insurance Portability and Accountability Act (HIPAA)</li>
<li>Identify the roles and responsibilities of Covered Entities and Business Associates under HIPAA</li>
<li>Discuss the rights individuals have over their health information</li>
<li>Analyse how encryption and access controls help protect PHI from unauthorized access</li>
<li>Evaluate best practices for securely handling, storing, and disposing of PHI to prevent unauthorized access</li>
<li>List the key steps involved in establishing a HIPAA compliance program</li>
<li>Outline the most common types of HIPAA violations and how they occur</li>
<li>Recall real-world examples of HIPAA breaches and their consequences</li>
</ul>",compliance|healthcare|information_security|hipaa|document_management|information_management|healthcare_management|data_security,"[""health""]","[""en""]"
1775,Food Safety Training - Safe Practices and Procedures,food-safety-training-safe-practices-and-procedures-revised,Learn more about the food sanitation practices and procedures with this food safety training online course.,USAID,USAID,usaid,1,Business,business,Business,business,1,workplace_job_role_training,Workplace - Job Role Training,1.5-3,50,en,en,3,127142,31841,1004,1654,94,1,1,0,1,1,0,0,0,0,0,6,343,True,Supplementary Courses,https://cdn01.alison-static.net/courses/1775/alison_courseware_intro_1775.jpg,"<p>By the end of this course, you will be able to:</p><ul><li>Describe sanitary food handling practices</li><li>List correct cleaning and sanitizing procedures</li><li>Outline safe practices in the food preparation area to avoid accidents</li><li>List personal cleanliness guidelines for handling food</li><li>Describe the role and influence of the manager in the food service sanitation and safety operation</li><li>Recall the OSHA regulations for reporting incidents</li></ul>",health_and_safety|food_safety|osha|restaurant_management|transition_year_top_ups_tasters|sdg_2_zero_hunger,"[""health"", ""business""]","[""en"", ""es""]"
1381,"Mental Health Studies - Suicide, Violent Behavior and Substance Abuse",mental-health-studies-suicide-violent-behavior-and-substance-abuse-revised,Learn to identify mental health problems and the importance of reducing the stigma of mental illness today.,MEDCoE,MEDCoE,medcoe,1,Health,health,Health,health,1,academic_third_level,Academic - Third Level,1.5-3,50,en,en,3,210084,53601,897,1365,69,1,1,0,1,1,0,0,1,0,0,7,283,True,Supplementary Courses,https://cdn01.alison-static.net/courses/1381/alison_courseware_intro_1381.jpg,"<p>By the end of this course, you will be able to:</p><ul><li>Identify the signs and types of suicidal behaviors</li><li>List conditions that are linked to the risk of suicide</li><li>Identify the most common precipitating factors in violent behavior</li><li>Identify the methods used to manage the violent patient who is unarmed or armed</li><li>Describe the factors impacting the effect of the particular substance on the individual</li><li>Recall the long and short-term effects of substance abuse</li><li>Identify the signs/symptoms and treatment for overdose and withdrawal of alcohol, opioids and barbiturates</li><li>Identify behavior changes resulting from substance abuse</li><li>Describe body mechanism adjustments and tolerance levels to substances</li></ul>",mental_health|addiction|substance_abuse|drugs|depression,"[""health""]","[""en"", ""es""]"
1403,Working with Students with Special Educational Needs,working-with-students-with-special-educational-needs-revised,Improve your special education teaching methods with this free online course to make a greater impact in the classroom.,Global Text Project,Global Text Project,global-text-project,1,Teaching & Academics,education,Teaching & Academics,education,1,academic_third_level,Academic - Third Level,1.5-3,50,en,en,3,203319,48274,915,1599,64,1,1,0,1,1,0,0,0,0,0,8,81,True,Supplementary Courses,https://cdn01.alison-static.net/courses/1403/alison_courseware_intro_1403.jpg,"<p>By the end of this course, you will be able to:</p><ul><li>Describe the fundamentals of special education</li><li>Outline the most common disabilities encountered in the classroom</li><li>Outline a basic individual education plan (IEP) for a student with special educational needs</li><li>Identify strategies for teaching students with intellectual disabilities</li><li>Identify the correct definition for a 'behavioural disorder'</li><li>List three strategies for teaching students with hearing loss</li><li>Describe three strategies for teaching students with visual impairment.</li></ul>",special_education|teaching|adhd|classroom_management|special_needs|disability|sdg_4_quality_education|sdg_10_reduced_inequality|neurodiverse,"[""education""]","[""en"", ""es""]"
5288,Basics of Safeguarding Children,basics-of-safeguarding-children,Learn important strategies to protect children from various forms of abuse with this free online course.,Training Express,Training Express,training-express,1,Personal Development,personal-development,Personal Development,personal-development,2,personal_development_personal_improvement,Personal Development - Personal Improvement,3-4,50,en,en,3,56333,17665,693,847,70,1,1,0,1,1,0,1,0,0,0,9,1000000,True,Supplementary Courses,https://cdn01.alison-static.net/courses/5288/alison_courseware_intro_5288.jpg,"<p>By the end of this course, you will be able to:</p><ul><li>Recall some myths and truths about safeguarding children</li><li>Discuss the importance of safeguarding training</li><li>Explain the UK's Children Act and the child protection system in England</li><li>List various types of child abuse</li><li>Identify the signs and impact of sexual abuse on children</li><li>Outline the steps to take after an abused child has been referred to childcare services</li><li>Recall what to do when a child discloses abuse to you</li></ul>",childcare|social_work|safeguarding|child_protection,"[""health"", ""personal_development""]","[""en"", ""es""]"
1609,Introduction to Caregiving,introduction-to-caregiving-revised,"Learn about caregiving skills including legal and ethical responsibilities, and working as part of a team.","Advance Learning - Health, Nursing & Medical","Advance Learning - Health, Nursing & Medical",advance-learning-health-nursing-medical,1,Health,health,Health,health,1,workplace_job_role_training,Workplace - Job Role Training,1.5-3,50,en,en,4,261731,72748,817,2322,62,1,1,0,1,1,0,0,0,0,0,10,511,True,Supplementary Courses,https://cdn01.alison-static.net/courses/1609/alison_courseware_intro_1609.jpg,"<p>Having completed this course you will be able to:</p>
<ul>
<li>Define the roles and responsibilities of a carer.</li>
<li>Describe the various legal issues that carers must be familiar with when they work with clients.</li>
<li>Develop the skills necessary to communicate effectively with all members of the care service team.</li>
<li>Develop an understanding of how to communicate with individuals with various disabilities.</li>
<li>Discuss the correct etiquette when working with a wheelchair-bound client.</li>
<li>Outline the causes and effects of stress and the most efficient ways of preventing and managing it.</li>
<li>Develop the time management and organizational skills necessary to provide efficient care for clients.</li>
</ul>",health|healthcare|caregiving|transition_year_work_future|uk_apprenticeships|care_worker_apprenticeships|sdg_3_good_health_and_wellbeing|sdg_8_decent_work_and_economic_growth,"[""health""]","[""en"", ""es""]"
